price,points,country,province,price_per_country_mean,price_per_country_mean_diff,price_per_country_median,price_per_country_median_diff,price_per_province_mean,price_per_province_mean_diff,price_per_province_median,price_per_province_median_diff,points_per_country_mean,points_per_country_median,points_per_province_mean,points_per_province_median
65.0,90,US,California,36.23818813834525,28.76181186165475,30.0,35.0,38.68686189197347,26.31313810802653,33.0,32.0,88.59421613394215,88.0,88.67250115154307,89.0
15.0,84,US,Oregon,36.23818813834525,-21.23818813834525,30.0,-15.0,36.54054054054054,-21.54054054054054,30.0,-15.0,88.59421613394215,88.0,89.21321321321321,89.0
33.0,91,Chile,Casablanca Valley,21.41172502899278,11.58827497100722,15.0,18.0,20.319148936170212,12.680851063829788,20.0,13.0,86.56313993174061,87.0,87.02127659574468,87.0
86.0,94,US,Oregon,36.23818813834525,49.76181186165475,30.0,56.0,36.54054054054054,49.45945945945946,30.0,56.0,88.59421613394215,88.0,89.21321321321321,89.0
10.0,84,Portugal,Lisboa,31.774150564134438,-21.774150564134438,20.0,-10.0,20.134747337884544,-10.134747337884544,15.0,-5.0,88.33633633633633,88.0,87.2258064516129,87.0
30.0,92,US,California,36.23818813834525,-6.238188138345251,30.0,0.0,38.68686189197347,-8.686861891973471,33.0,-3.0,88.59421613394215,88.0,88.67250115154307,89.0
18.0,88,Spain,Catalonia,25.583870843967777,-7.583870843967777,18.0,0.0,26.510902889965895,-8.510902889965895,18.0,0.0,87.06388206388206,87.0,87.18666666666667,87.0
17.0,85,Spain,Northern Spain,25.583870843967777,-8.583870843967777,18.0,-1.0,26.051110857873205,-9.051110857873205,18.0,-1.0,87.06388206388206,87.0,86.95850622406638,87.0
80.0,92,Italy,Piedmont,39.645133428557564,40.354866571442436,34.5,45.5,50.02047247781605,29.97952752218395,40.0,40.0,88.64735945485519,88.0,89.5,89.0
12.0,90,South Africa,Robertson,27.371567043618743,-15.371567043618743,20.0,-8.0,12.714285714285714,-0.7142857142857135,10.0,2.0,88.26373626373626,88.0,87.42857142857143,87.0
19.0,89,Italy,Tuscany,39.645133428557564,-20.645133428557564,34.5,-15.5,47.502078681100365,-28.502078681100365,35.317716747442105,-16.317716747442105,88.64735945485519,88.0,89.08587257617728,89.0
15.0,87,US,California,36.23818813834525,-21.23818813834525,30.0,-15.0,38.68686189197347,-23.68686189197347,33.0,-18.0,88.59421613394215,88.0,88.67250115154307,89.0
35.0,93,US,Washington,36.23818813834525,-1.2381881383452509,30.0,5.0,32.15239425095908,2.8476057490409232,28.0,7.0,88.59421613394215,88.0,88.8546511627907,89.0
